"","Term","Ont","N","DE","P.DE","FDR"
"GO:2001185","regulation of CD8-positive, alpha-beta T cell activation","BP",7,4,2.18929736637766e-07,0.00218090893217931
"GO:0002250","adaptive immune response","BP",248,12,2.21131450664568e-07,0.00218090893217931
"GO:0036037","CD8-positive, alpha-beta T cell activation","BP",15,4,6.38692001225024e-06,0.0419939990805453
"GO:0005515","protein binding","MF",6269,63,1.80054965375507e-05,0.0732007994037568
"GO:0002376","immune system process","BP",1741,28,1.85553357170486e-05,0.0732007994037568
"GO:0006955","immune response","BP",1103,21,2.33864606003884e-05,0.0768829892237769
"GO:0002428","antigen processing and presentation of peptide antigen via MHC class Ib","BP",8,3,3.26003691894245e-05,0.0918631831801997
"GO:0002456","T cell mediated immunity","BP",56,5,5.58129357415827e-05,0.106931374961614
"GO:0002521","leukocyte differentiation","BP",353,11,6.54504423333516e-05,0.106931374961614
"GO:1902105","regulation of leukocyte differentiation","BP",182,8,7.47008593504106e-05,0.106931374961614
"GO:1903706","regulation of hemopoiesis","BP",240,9,7.77949761504932e-05,0.106931374961614
"GO:0002483","antigen processing and presentation of endogenous peptide antigen","BP",11,3,7.93073680682425e-05,0.106931374961614
"GO:0043374","CD8-positive, alpha-beta T cell differentiation","BP",10,3,7.97473137460605e-05,0.106931374961614
"GO:0043376","regulation of CD8-positive, alpha-beta T cell differentiation","BP",2,2,8.27202669695124e-05,0.106931374961614
"GO:0007159","leukocyte cell-cell adhesion","BP",367,11,8.48344740758659e-05,0.106931374961614
"GO:0001775","cell activation","BP",667,15,8.67377439485841e-05,0.106931374961614
"GO:0001909","leukocyte mediated cytotoxicity","BP",65,5,9.99609453203833e-05,0.109046904407494
"GO:0032813","tumor necrosis factor receptor superfamily binding","MF",32,4,0.000102046919100023,0.109046904407494
"GO:0019221","cytokine-mediated signaling pathway","BP",392,11,0.000108087577347682,0.109046904407494
"GO:0002449","lymphocyte mediated immunity","BP",151,7,0.00011627891052817,0.109046904407494
"GO:0046649","lymphocyte activation","BP",458,12,0.000119925006829456,0.109046904407494
"GO:0002682","regulation of immune system process","BP",943,18,0.0001216239238005,0.109046904407494
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP",152,7,0.000138080440433781,0.117534877591943
"GO:0019883","antigen processing and presentation of endogenous antigen","BP",13,3,0.000143008216081451,0.117534877591943
"GO:0042110","T cell activation","BP",333,10,0.00017198046165959,0.128996649008325
"GO:0070489","T cell aggregation","BP",333,10,0.00017198046165959,0.128996649008325
"GO:0071593","lymphocyte aggregation","BP",334,10,0.000177324381917627,0.128996649008325
"GO:0042267","natural killer cell mediated cytotoxicity","BP",41,4,0.000186868466876623,0.128996649008325
"GO:0002475","antigen processing and presentation via MHC class Ib","BP",14,3,0.000193781117040308,0.128996649008325
"GO:0034097","response to cytokine","BP",573,13,0.000197382754681682,0.128996649008325
"GO:0046902","regulation of mitochondrial membrane permeability","BP",43,4,0.000202732376134757,0.128996649008325
"GO:0070486","leukocyte aggregation","BP",341,10,0.000213161969920891,0.131394370521549
"GO:0002684","positive regulation of immune system process","BP",648,14,0.000226089815914572,0.134037424968608
"GO:0002228","natural killer cell mediated immunity","BP",44,4,0.000232209766956393,0.134037424968608
"GO:2001187","positive regulation of CD8-positive, alpha-beta T cell activation","BP",3,2,0.000245555695338591,0.134037424968608
"GO:2000564","regulation of CD8-positive, alpha-beta T cell proliferation","BP",3,2,0.000245995695862356,0.134037424968608
"GO:0071345","cellular response to cytokine stimulus","BP",505,12,0.000257709857024276,0.134037424968608
"GO:0007165","signal transduction","BP",4149,46,0.000258221655199346,0.134037424968608
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","BP",48,4,0.000276841717108107,0.1400180223066
"GO:0090559","regulation of membrane permeability","BP",47,4,0.000311916730028659,0.153813937495382
"GO:0035740","CD8-positive, alpha-beta T cell proliferation","BP",4,2,0.000331790993640067,0.15962383779391
"GO:0042611","MHC protein complex","CC",19,3,0.000377019982054446,0.168334802480227
"GO:0030155","regulation of cell adhesion","BP",501,12,0.000383263719877585,0.168334802480227
"GO:0071357","cellular response to type I interferon","BP",57,4,0.000384033769916868,0.168334802480227
"GO:0060337","type I interferon signaling pathway","BP",57,4,0.000384033769916868,0.168334802480227
"GO:0001906","cell killing","BP",89,5,0.000393777323438861,0.168853428365903
"GO:0048583","regulation of response to stimulus","BP",2592,33,0.000415071621208688,0.174197611241306
"GO:0022407","regulation of cell-cell adhesion","BP",301,9,0.000427522697869754,0.174571142936614
"GO:0002478","antigen processing and presentation of exogenous peptide antigen","BP",96,5,0.000433662154823528,0.174571142936614
"GO:0019882","antigen processing and presentation","BP",142,6,0.000445972394842362,0.175936109765312
