"","N","DE","P.DE","FDR"
"REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS",25,2,7.97540568715163e-05,0.111819071249538
"NAKAMURA_BRONCHIAL_AND_BRONCHIOLAR_EPITHELIA",7,1,0.000103406094813034,0.111819071249538
"IKEDA_MIR1_TARGETS_DN",7,1,0.000114526744586113,0.111819071249538
"REACTOME_INWARDLY_RECTIFYING_K_CHANNELS",31,2,0.000119153046166423,0.111819071249538
"FREDERICK_PRKCI_TARGETS",10,1,0.000181338064947683,0.111819071249538
"TSUTSUMI_FBXW8_TARGETS",9,1,0.000217368479417322,0.111819071249538
"NADELLA_PRKAR1A_TARGETS_UP",9,1,0.000235185086697779,0.111819071249538
"HO_LIVER_CANCER_VASCULAR_INVASION",13,1,0.000245048379017607,0.111819071249538
"ZEMBUTSU_SENSITIVITY_TO_METHOTREXATE",18,1,0.000265447268106584,0.111819071249538
"REACTOME_GABA_B_RECEPTOR_ACTIVATION",38,2,0.000266501718344298,0.111819071249538
"LU_TUMOR_VASCULATURE_DN",13,1,0.000275551812611774,0.111819071249538
"REACTOME_OLFACTORY_SIGNALING_PATHWAY",328,3,0.000298256142320979,0.111819071249538
"NIKOLSKY_BREAST_CANCER_12Q24_AMPLICON",15,1,0.000307650354760633,0.111819071249538
"NAKAMURA_LUNG_CANCER_DIFFERENTIATION_MARKERS",14,1,0.000347019776551664,0.113929680590547
"CAFFAREL_RESPONSE_TO_THC_24HR_3_DN",13,1,0.000376692537020592,0.113929680590547
"HASLINGER_B_CLL_WITH_17P13_DELETION",21,1,0.00039160390423535,0.113929680590547
"PARK_HSC_VS_MULTIPOTENT_PROGENITORS_UP",19,1,0.000442982120038876,0.113929680590547
"JAZAG_TGFB1_SIGNALING_UP",108,2,0.000606558741224628,0.113929680590547
"REACTOME_GABA_RECEPTOR_ACTIVATION",52,2,0.000696150958375078,0.113929680590547
"KEGG_OLFACTORY_TRANSDUCTION",389,3,0.000711336891704915,0.113929680590547
"REACTOME_BETA_DEFENSINS",42,1,0.000778301132994379,0.113929680590547
"KEGG_LONG_TERM_DEPRESSION",70,2,0.000898760248262133,0.113929680590547
"MEINHOLD_OVARIAN_CANCER_LOW_GRADE_UP",19,1,0.00114510195921318,0.113929680590547
"FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP",87,2,0.0011609008105573,0.113929680590547
"REACTOME_DEFENSINS",51,1,0.00121306388247728,0.113929680590547
"ZHOU_PANCREATIC_ENDOCRINE_PROGENITOR",14,1,0.00129442154057113,0.113929680590547
"ZWANG_EGF_PERSISTENTLY_UP",32,1,0.00142745804270945,0.113929680590547
"SMID_BREAST_CANCER_RELAPSE_IN_LUNG_UP",21,1,0.00145637403774625,0.113929680590547
"WAGNER_APO2_SENSITIVITY",25,1,0.00150242404557378,0.113929680590547
"JAZAG_TGFB1_SIGNALING_VIA_SMAD4_UP",108,2,0.00158452599436074,0.113929680590547
"BREDEMEYER_RAG_SIGNALING_VIA_ATM_NOT_VIA_NFKB_DN",38,1,0.00169850805998745,0.113929680590547
"DAIRKEE_CANCER_PRONE_RESPONSE_E2",28,1,0.00196502825027349,0.113929680590547
"BOYAULT_LIVER_CANCER_SUBCLASS_G5_DN",27,1,0.00197903437788387,0.113929680590547
"REACTOME_MYOGENESIS",28,1,0.00202992519248553,0.113929680590547
"ST_MYOCYTE_AD_PATHWAY",27,1,0.00210829636527055,0.113929680590547
"TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN",29,1,0.00212102790279454,0.113929680590547
"SEITZ_NEOPLASTIC_TRANSFORMATION_BY_8P_DELETION_DN",30,1,0.00215459010563617,0.113929680590547
"KEGG_O_GLYCAN_BIOSYNTHESIS",30,1,0.00215982255583533,0.113929680590547
"MATZUK_SPERMATID_DIFFERENTIATION",37,1,0.0022245493331657,0.113929680590547
"LIN_MELANOMA_COPY_NUMBER_DN",41,1,0.00224233735421825,0.113929680590547
"AIGNER_ZEB1_TARGETS",35,1,0.00236725109579895,0.113929680590547
"CASTELLANO_HRAS_AND_NRAS_TARGETS_UP",6,0,0.00242232625950034,0.113929680590547
"AMIT_EGF_RESPONSE_40_HELA",42,1,0.00268586480624987,0.113929680590547
"CAMPS_COLON_CANCER_COPY_NUMBER_DN",74,1,0.00269865097245874,0.113929680590547
"REN_ALVEOLAR_RHABDOMYOSARCOMA_UP",98,2,0.00288203999036793,0.113929680590547
"REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS",27,1,0.00296737732023973,0.113929680590547
"WARTERS_IR_RESPONSE_5GY",47,1,0.00308912530009223,0.113929680590547
"KREPPEL_CD99_TARGETS_UP",6,0,0.00316842453541377,0.113929680590547
"TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_DN",7,0,0.003258980617869,0.113929680590547
"KENNY_CTNNB1_TARGETS_UP",50,1,0.00337675861770776,0.113929680590547
