"","Term","Ont","N","DE","P.DE","FDR"
"GO:0016328","lateral plasma membrane","CC",42,3,1.95519617767182e-05,0.385662446045767
"GO:0005923","bicellular tight junction","CC",79,3,0.000154427741966696,1
"GO:0070160","occluding junction","CC",82,3,0.000168702859847273,1
"GO:0043296","apical junction complex","CC",90,3,0.000231545468067216,1
"GO:0016323","basolateral plasma membrane","CC",162,3,0.00120743527923762,1
"GO:0071914","prominosome","CC",1,1,0.00121713816375058,1
"GO:0016028","rhabdomere","CC",1,1,0.00142758088895051,1
"GO:2001287","negative regulation of caveolin-mediated endocytosis","BP",2,1,0.00267555807739543,1
"GO:0007023","post-chaperonin tubulin folding pathway","BP",2,1,0.00274001638703489,1
"GO:0005911","cell-cell junction","CC",485,4,0.00303914162209784,1
"GO:0001892","embryonic placenta development","BP",67,2,0.00321869463283493,1
"GO:0016324","apical plasma membrane","CC",228,3,0.00345698919643436,1
"GO:0044393","microspike","CC",3,1,0.00435435708108517,1
"GO:0043087","regulation of GTPase activity","BP",524,4,0.00479077483624853,1
"GO:0038132","neuregulin binding","MF",4,1,0.00507629855028217,1
"GO:0007021","tubulin complex assembly","BP",4,1,0.00511515506038945,1
"GO:0030010","establishment of cell polarity","BP",79,2,0.00523915171507562,1
"GO:0031339","negative regulation of vesicle fusion","BP",4,1,0.00545513102576322,1
"GO:0048550","negative regulation of pinocytosis","BP",4,1,0.00555203069330536,1
"GO:0034498","early endosome to Golgi transport","BP",7,1,0.00573826524960085,1
"GO:0045177","apical part of cell","CC",281,3,0.0057766430348293,1
"GO:2001286","regulation of caveolin-mediated endocytosis","BP",5,1,0.00681959425963707,1
"GO:0035331","negative regulation of hippo signaling","BP",5,1,0.00740683197831676,1
"GO:0048608","reproductive structure development","BP",308,3,0.00777409287522377,1
"GO:0051336","regulation of hydrolase activity","BP",1001,5,0.00785487808109827,1
"GO:0048523","negative regulation of cellular process","BP",3071,9,0.00794926046565102,1
"GO:0061458","reproductive system development","BP",312,3,0.00800934320644056,1
"GO:0051599","response to hydrostatic pressure","BP",5,1,0.00855773534096367,1
"GO:0060627","regulation of vesicle-mediated transport","BP",333,3,0.00857199575479256,1
"GO:0048548","regulation of pinocytosis","BP",7,1,0.00868791434121414,1
"GO:0001890","placenta development","BP",112,2,0.00870494308053617,1
"GO:0008047","enzyme activator activity","MF",337,3,0.00898301106248871,1
"GO:0051051","negative regulation of transport","BP",340,3,0.00943562647978599,1
"GO:0043524","negative regulation of neuron apoptotic process","BP",107,2,0.00991275470624844,1
"GO:0035330","regulation of hippo signaling","BP",7,1,0.0100908019938285,1
"GO:0030234","enzyme regulator activity","MF",693,4,0.0103562237484073,1
"GO:0030054","cell junction","CC",1053,5,0.0107744633061341,1
"GO:0070886","positive regulation of calcineurin-NFAT signaling cascade","BP",8,1,0.0107823695794896,1
"GO:0060670","branching involved in labyrinthine layer morphogenesis","BP",9,1,0.0109364500022141,1
"GO:0014067","negative regulation of phosphatidylinositol 3-kinase signaling","BP",8,1,0.0109471401637829,1
"GO:0060068","vagina development","BP",8,1,0.0120877943305918,1
"GO:0014066","regulation of phosphatidylinositol 3-kinase signaling","BP",125,2,0.0125170012976083,1
"GO:0031115","negative regulation of microtubule polymerization","BP",9,1,0.0128141315430985,1
"GO:0007163","establishment or maintenance of cell polarity","BP",126,2,0.0129351140432384,1
"GO:0030674","protein binding, bridging","MF",129,2,0.0130318619695379,1
"GO:0005886","plasma membrane","CC",3860,10,0.0130475366037005,1
"GO:0048519","negative regulation of biological process","BP",3308,9,0.0132417044401474,1
"GO:0072584","caveolin-mediated endocytosis","BP",10,1,0.0133231578252176,1
"GO:0097284","hepatocyte apoptotic process","BP",11,1,0.0133593586300436,1
"GO:1901215","negative regulation of neuron death","BP",134,2,0.0142527784629388,1
