"","Term","Ont","N","DE","P.DE","FDR"
"GO:0019827","stem cell population maintenance","BP",103,10,0.00025840356863015,1
"GO:0017042","glycosylceramidase activity","MF",2,2,0.000262679059376705,1
"GO:0098727","maintenance of cell number","BP",105,10,0.000301235089296986,1
"GO:0043401","steroid hormone mediated signaling pathway","BP",134,10,0.000826267500606504,1
"GO:0009755","hormone-mediated signaling pathway","BP",160,11,0.00103503044848734,1
"GO:0035497","cAMP response element binding","MF",9,3,0.00136244837654582,1
"GO:0008422","beta-glucosidase activity","MF",4,2,0.00284909166670636,1
"GO:0051117","ATPase binding","MF",49,5,0.00340406421448595,1
"GO:0010757","negative regulation of plasminogen activation","BP",4,2,0.00348843179288099,1
"GO:0048382","mesendoderm development","BP",4,2,0.00367919748870996,1
"GO:0016575","histone deacetylation","BP",53,5,0.00383397466844744,1
"GO:0032968","positive regulation of transcription elongation from RNA polymerase II promoter","BP",8,2,0.00478389941861053,1
"GO:0002581","negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","BP",3,2,0.00480625738885106,1
"GO:0019935","cyclic-nucleotide-mediated signaling","BP",60,6,0.00520414614588305,1
"GO:0010626","negative regulation of Schwann cell proliferation","BP",4,2,0.00537492834379174,1
"GO:0071383","cellular response to steroid hormone stimulus","BP",180,10,0.00541262286864898,1
"GO:0032446","protein modification by small protein conjugation","BP",558,19,0.00550129141864797,1
"GO:0036126","sperm flagellum","CC",41,4,0.00587202622247309,1
"GO:0006476","protein deacetylation","BP",59,5,0.00589220726808065,1
"GO:0031702","type 1 angiotensin receptor binding","MF",7,2,0.00594890220171649,1
"GO:0061626","pharyngeal arch artery morphogenesis","BP",5,2,0.0060193952504941,1
"GO:0004871","signal transducer activity","MF",1306,42,0.00605222232128142,1
"GO:0003222","ventricular trabecula myocardium morphogenesis","BP",16,3,0.00610392983667326,1
"GO:0035601","protein deacylation","BP",63,5,0.00714816845791388,1
"GO:0003674","molecular_function","MF",11208,241,0.00729538903760488,1
"GO:0045103","intermediate filament-based process","BP",34,4,0.00740615822583288,1
"GO:0071011","precatalytic spliceosome","CC",11,2,0.00772379343275872,1
"GO:0042045","epithelial fluid transport","BP",5,2,0.00786682584409609,1
"GO:0000122","negative regulation of transcription from RNA polymerase II promoter","BP",552,23,0.00813966120508066,1
"GO:1904424","regulation of GTP binding","BP",6,2,0.00816829180131629,1
"GO:0098732","macromolecule deacylation","BP",64,5,0.0083519736840051,1
"GO:0031232","extrinsic component of external side of plasma membrane","CC",6,2,0.00840265998908795,1
"GO:0005329","dopamine transmembrane transporter activity","MF",4,2,0.00851958304970106,1
"GO:0003707","steroid hormone receptor activity","MF",52,5,0.00859507409540793,1
"GO:0031701","angiotensin receptor binding","MF",8,2,0.008639073609243,1
"GO:0046332","SMAD binding","MF",56,5,0.00897888040629069,1
"GO:0006367","transcription initiation from RNA polymerase II promoter","BP",113,7,0.00902906708313922,1
"GO:0010715","regulation of extracellular matrix disassembly","BP",14,3,0.00907049906010856,1
"GO:0097229","sperm end piece","CC",1,1,0.00907793722849268,1
"GO:0032889","regulation of vacuole fusion, non-autophagic","BP",1,1,0.00935484927432345,1
"GO:0015926","glucosidase activity","MF",9,2,0.00975012206862984,1
"GO:0010624","regulation of Schwann cell proliferation","BP",5,2,0.00993493271221082,1
"GO:0007184","SMAD protein import into nucleus","BP",20,3,0.00999739426489326,1
"GO:0002578","negative regulation of antigen processing and presentation","BP",6,2,0.0102341247346348,1
"GO:1901223","negative regulation of NIK/NF-kappaB signaling","BP",6,2,0.0105367592846437,1
"GO:0019787","ubiquitin-like protein transferase activity","MF",270,11,0.0106864404847089,1
"GO:0071615","oxidative deethylation","BP",1,1,0.0107857586898115,1
"GO:0009403","toxin biosynthetic process","BP",1,1,0.0107857586898115,1
"GO:0035326","enhancer binding","MF",72,6,0.0108323080306088,1
"GO:0033167","ARC complex","CC",1,1,0.0111200896719582,1
