"","nodeLabel","CpG","correlations"
"cg24486037","VAE22","cg24486037",0.691210379492685
"cg02479497","VAE22","cg02479497",0.689021764843836
"cg06127256","VAE22","cg06127256",0.688208193101987
"cg21287519","VAE22","cg21287519",0.686671938445409
"cg17787108","VAE22","cg17787108",0.68386674450529
"cg15983182","VAE22","cg15983182",0.681006708023391
"cg16348820","VAE22","cg16348820",0.680950846217282
"cg24601480","VAE22","cg24601480",0.680073445263281
"cg09476130","VAE22","cg09476130",0.680037843054588
"cg14480116","VAE22","cg14480116",0.67985379511487
"cg13239713","VAE22","cg13239713",0.67889540990509
"cg15314855","VAE22","cg15314855",0.676652132145893
"cg06023161","VAE22","cg06023161",0.676564318723261
"cg12212198","VAE22","cg12212198",0.675916147865129
"cg00171729","VAE22","cg00171729",0.67517177360202
"cg20976787","VAE22","cg20976787",0.674982279999221
"cg08370546","VAE22","cg08370546",0.674723421184929
"cg07243548","VAE22","cg07243548",0.67232458584334
"cg19211851","VAE22","cg19211851",0.672029140192011
"cg00326131","VAE22","cg00326131",0.671186456779075
"cg16557111","VAE22","cg16557111",0.670829204945764
"cg08152198","VAE22","cg08152198",0.670437623634918
"cg22709362","VAE22","cg22709362",0.66986896327677
"cg16699385","VAE22","cg16699385",0.668616086934643
"cg04384112","VAE22","cg04384112",0.668592416625603
"cg10735582","VAE22","cg10735582",0.668053894521079
"cg09243900","VAE22","cg09243900",0.667928688047638
"cg25588740","VAE22","cg25588740",0.667644849651971
"cg21540035","VAE22","cg21540035",0.667619167044178
"cg04300159","VAE22","cg04300159",0.666742810937606
"cg08775835","VAE22","cg08775835",0.666702072637213
"cg27436118","VAE22","cg27436118",0.666218149185705
"cg00366413","VAE22","cg00366413",0.666079175876954
"cg11639950","VAE22","cg11639950",0.665936388662347
"cg05979619","VAE22","cg05979619",0.665655131213678
"cg07830472","VAE22","cg07830472",0.665621824010789
"cg11180921","VAE22","cg11180921",0.665501209708163
"cg06857473","VAE22","cg06857473",0.664970550830092
"cg02628016","VAE22","cg02628016",0.664616634561645
"cg20739504","VAE22","cg20739504",0.664551357395928
"cg15472885","VAE22","cg15472885",0.664102457827054
"cg05576619","VAE22","cg05576619",0.663854629045639
"cg19883472","VAE22","cg19883472",0.663715165572097
"cg06686742","VAE22","cg06686742",0.662964887721959
"cg06082598","VAE22","cg06082598",0.662619631211669
"cg15059065","VAE22","cg15059065",0.662396916399157
"cg05304507","VAE22","cg05304507",0.662327083605586
"cg16606773","VAE22","cg16606773",0.662174108044809
"cg01657186","VAE22","cg01657186",0.661725143999056
"cg22493616","VAE22","cg22493616",0.661557768470474
"cg15730857","VAE22","cg15730857",0.660456346617594
"cg04347477","VAE22","cg04347477",0.660172918852209
"cg10198568","VAE22","cg10198568",0.660053044119101
"cg20054420","VAE22","cg20054420",0.659345110549271
"cg19344626","VAE22","cg19344626",0.659071347623519
"cg08500171","VAE22","cg08500171",0.658865054753043
"cg20780302","VAE22","cg20780302",0.658833644833418
"cg14510299","VAE22","cg14510299",0.658807276397284
"cg12813108","VAE22","cg12813108",0.658695916261051
"cg15575375","VAE22","cg15575375",0.658638182029912
"cg24289314","VAE22","cg24289314",0.658581984945562
"cg27436259","VAE22","cg27436259",0.6584972243719
"cg26446832","VAE22","cg26446832",0.65832034096005
"cg17898069","VAE22","cg17898069",0.657864204845946
"cg04813834","VAE22","cg04813834",0.65758769007302
"cg15226275","VAE22","cg15226275",0.657360409958508
"cg02344497","VAE22","cg02344497",0.657329008607987
"cg09832443","VAE22","cg09832443",0.656689166431796
"cg23907051","VAE22","cg23907051",0.656607848923247
"cg27243623","VAE22","cg27243623",0.656604701481609
"cg00500789","VAE22","cg00500789",0.656529653057634
"cg09981198","VAE22","cg09981198",0.656209820099872
"cg09502464","VAE22","cg09502464",0.656136203503855
"cg09517873","VAE22","cg09517873",0.655965965376873
"cg16163847","VAE22","cg16163847",0.655937564230817
"cg25737224","VAE22","cg25737224",0.655923458790503
"cg07310671","VAE22","cg07310671",0.655855472761077
"cg10841756","VAE22","cg10841756",0.655647059004033
"cg00776080","VAE22","cg00776080",0.655467213027315
"cg03685774","VAE22","cg03685774",0.655330449826502
"cg16773162","VAE22","cg16773162",0.654931694358141
"cg21210531","VAE22","cg21210531",0.654755508572843
"cg01054110","VAE22","cg01054110",0.654016324164544
"cg05006942","VAE22","cg05006942",0.653921107605318
"cg24958342","VAE22","cg24958342",0.653639359981312
"cg14281612","VAE22","cg14281612",0.652892880990036
"cg17826530","VAE22","cg17826530",0.652330121005028
"cg26400275","VAE22","cg26400275",0.652231505466821
"cg21473814","VAE22","cg21473814",0.651738034345578
"cg00944421","VAE22","cg00944421",0.651522480791456
"cg24407260","VAE22","cg24407260",0.651458099080384
"cg09386265","VAE22","cg09386265",0.651394858887685
"cg27174787","VAE22","cg27174787",0.651085643220317
