"","nodeLabel","CpG","correlations"
"cg19103219","VAE93","cg19103219",-0.666140558634686
"cg00535683","VAE93","cg00535683",-0.663909724026451
"cg21936464","VAE93","cg21936464",-0.656777369430859
"cg05478330","VAE93","cg05478330",-0.655430652050594
"cg18391323","VAE93","cg18391323",-0.651348124621319
"cg07293445","VAE93","cg07293445",-0.650378024462446
"cg25141818","VAE93","cg25141818",-0.645731929724373
"cg04050068","VAE93","cg04050068",-0.644956198184558
"cg13667124","VAE93","cg13667124",-0.643523512561986
"cg00573165","VAE93","cg00573165",-0.64151988145997
"cg15626797","VAE93","cg15626797",-0.637925770640841
"cg09448880","VAE93","cg09448880",-0.636389999462811
"cg09726726","VAE93","cg09726726",-0.633340888445779
"cg07370087","VAE93","cg07370087",-0.633311806460924
"cg05739476","VAE93","cg05739476",0.633230060622465
"cg10022165","VAE93","cg10022165",-0.633142670044087
"cg04254242","VAE93","cg04254242",-0.632683211273278
"cg14300623","VAE93","cg14300623",-0.628421632880241
"cg26787320","VAE93","cg26787320",-0.626277575995405
"cg14323067","VAE93","cg14323067",-0.626232939660417
"cg04837847","VAE93","cg04837847",-0.625141181598063
"cg22810710","VAE93","cg22810710",-0.624027614449157
"cg17095936","VAE93","cg17095936",-0.622430451056764
"cg17594242","VAE93","cg17594242",-0.621642848992648
"cg26506288","VAE93","cg26506288",-0.621419387640195
"cg10780683","VAE93","cg10780683",-0.621280277507803
"cg06740440","VAE93","cg06740440",-0.620298859036179
"cg11436833","VAE93","cg11436833",-0.61943758628659
"cg03449150","VAE93","cg03449150",-0.617904595328173
"cg04235413","VAE93","cg04235413",-0.616815702919265
"cg14331623","VAE93","cg14331623",-0.614965733935299
"cg12457659","VAE93","cg12457659",-0.614939082109825
"cg03401357","VAE93","cg03401357",-0.614812881350065
"cg25362648","VAE93","cg25362648",-0.613137536590207
"cg10477592","VAE93","cg10477592",-0.612235762069279
"cg13636502","VAE93","cg13636502",-0.611814720990196
"cg14616369","VAE93","cg14616369",-0.611703259248479
"cg21865150","VAE93","cg21865150",-0.611429594446098
"cg20141817","VAE93","cg20141817",-0.611242740382079
"cg23204707","VAE93","cg23204707",-0.610693424428721
"cg13242468","VAE93","cg13242468",-0.610345712779601
"cg10201671","VAE93","cg10201671",-0.609826111532019
"cg14172108","VAE93","cg14172108",-0.60878898969111
"cg05922453","VAE93","cg05922453",-0.608509381773095
"cg10119001","VAE93","cg10119001",-0.60837540176883
"cg17149103","VAE93","cg17149103",-0.608231967323627
"cg23483069","VAE93","cg23483069",-0.607990286582959
"cg22909901","VAE93","cg22909901",-0.607551348047805
"cg06024951","VAE93","cg06024951",-0.607175427191023
"cg09601629","VAE93","cg09601629",-0.605221022845867
"cg21464565","VAE93","cg21464565",-0.605127181808666
"cg01792403","VAE93","cg01792403",-0.604922612348682
"cg16810272","VAE93","cg16810272",-0.604641802970529
"cg01694331","VAE93","cg01694331",-0.604253920384334
"cg02286602","VAE93","cg02286602",-0.604230405352885
"cg09947810","VAE93","cg09947810",-0.60348501286865
"cg14463995","VAE93","cg14463995",-0.602972265519456
"cg19635644","VAE93","cg19635644",0.602087584130254
"cg17989496","VAE93","cg17989496",-0.601889151999709
"cg14794445","VAE93","cg14794445",-0.601424783048416
"cg12786765","VAE93","cg12786765",-0.600977819878752
"cg10975889","VAE93","cg10975889",-0.59964102780277
"cg02412628","VAE93","cg02412628",-0.59938535611833
"cg21491706","VAE93","cg21491706",-0.599273493380117
"cg02480397","VAE93","cg02480397",-0.598985313628762
"cg21224025","VAE93","cg21224025",-0.59839862319542
"cg02788718","VAE93","cg02788718",-0.59813368554149
"cg00963378","VAE93","cg00963378",-0.597781433675924
"cg21428001","VAE93","cg21428001",-0.597720860691196
"cg25930161","VAE93","cg25930161",-0.596589440702249
"cg21181594","VAE93","cg21181594",-0.596458460140294
"cg27144884","VAE93","cg27144884",-0.595686141485975
"cg13797779","VAE93","cg13797779",-0.595660070792945
"cg21181547","VAE93","cg21181547",-0.595061308682134
"cg14750543","VAE93","cg14750543",-0.59483270156149
"cg07782479","VAE93","cg07782479",-0.594654001299494
"cg26837708","VAE93","cg26837708",0.594549701106998
"cg11616285","VAE93","cg11616285",-0.594360358186941
"cg01192077","VAE93","cg01192077",-0.59435014615162
"cg14179581","VAE93","cg14179581",-0.594287471190245
"cg07909128","VAE93","cg07909128",-0.593388695083097
"cg11912202","VAE93","cg11912202",-0.593047687956247
"cg07707491","VAE93","cg07707491",-0.592992778278799
"cg26874611","VAE93","cg26874611",-0.592840326203993
"cg16796164","VAE93","cg16796164",-0.592080478541476
"cg08945850","VAE93","cg08945850",-0.592034600152241
"cg18991240","VAE93","cg18991240",0.591829417834195
"cg19276343","VAE93","cg19276343",-0.59170957479491
"cg20710730","VAE93","cg20710730",-0.590197391914886
"cg17453961","VAE93","cg17453961",-0.590095458393411
"cg26996082","VAE93","cg26996082",-0.590062861063777
"cg14826683","VAE93","cg14826683",-0.589725936106898
"cg22094845","VAE93","cg22094845",-0.58967507864083
"cg22789515","VAE93","cg22789515",-0.589518445471152
"cg09023136","VAE93","cg09023136",0.588677306048459
"cg03863756","VAE93","cg03863756",-0.588602048574447
"cg14926093","VAE93","cg14926093",-0.587695992834746
"cg00538599","VAE93","cg00538599",-0.587387144514553
"cg06793849","VAE93","cg06793849",-0.586654107003982
"cg14624950","VAE93","cg14624950",-0.586626511958146
"cg12057127","VAE93","cg12057127",-0.586375272043134
"cg01138078","VAE93","cg01138078",-0.586134631339648
"cg24115232","VAE93","cg24115232",-0.585943863152365
"cg13041355","VAE93","cg13041355",-0.585913802307337
"cg18180339","VAE93","cg18180339",-0.585833600627984
"cg21447620","VAE93","cg21447620",-0.585570323457084
"cg14929805","VAE93","cg14929805",-0.5855390872586
"cg12190521","VAE93","cg12190521",-0.585341374924742
"cg06226675","VAE93","cg06226675",-0.585306837718964
"cg06481887","VAE93","cg06481887",-0.585242116187403
"cg13821571","VAE93","cg13821571",-0.584894008336966
"cg16451601","VAE93","cg16451601",-0.584842313944069
"cg06909503","VAE93","cg06909503",0.584760696715074
"cg02095401","VAE93","cg02095401",-0.584672477562065
"cg02767024","VAE93","cg02767024",-0.583744134970999
"cg22529184","VAE93","cg22529184",-0.583620127166305
"cg01204060","VAE93","cg01204060",-0.58340553060285
"cg13035219","VAE93","cg13035219",-0.582506075849943
"cg07997066","VAE93","cg07997066",-0.58234524018004
"cg16461335","VAE93","cg16461335",0.58185617448844
"cg02919982","VAE93","cg02919982",-0.581674039589555
"cg06668976","VAE93","cg06668976",-0.581614682205962
"cg13432241","VAE93","cg13432241",0.581226256255476
"cg19500334","VAE93","cg19500334",-0.580998847383729
"cg10546890","VAE93","cg10546890",-0.58081821657082
"cg10073794","VAE93","cg10073794",-0.580651711144451
"cg08583570","VAE93","cg08583570",-0.580517932225475
"cg06437052","VAE93","cg06437052",-0.580392985930075
"cg06799163","VAE93","cg06799163",-0.580307008744212
"cg03058733","VAE93","cg03058733",-0.580158739024532
"cg19068510","VAE93","cg19068510",-0.579999777254286
"cg03467728","VAE93","cg03467728",-0.579963691371284
"cg02902186","VAE93","cg02902186",0.579907460965251
"cg27167613","VAE93","cg27167613",-0.579889704880918
"cg11950754","VAE93","cg11950754",0.579860252274199
"cg12843033","VAE93","cg12843033",-0.579271950299637
"cg11910759","VAE93","cg11910759",-0.579113926349217
"cg27531878","VAE93","cg27531878",-0.579092957240632
"cg24107728","VAE93","cg24107728",0.578930695785375
"cg13601836","VAE93","cg13601836",-0.578771176737152
"cg05240267","VAE93","cg05240267",-0.578718308402109
"cg19183742","VAE93","cg19183742",-0.578603243306064
"cg12802537","VAE93","cg12802537",-0.578305718821417
"cg26155867","VAE93","cg26155867",-0.578138305883726
"cg07347019","VAE93","cg07347019",-0.577953887109877
"cg01613077","VAE93","cg01613077",-0.577909763471288
"cg25770135","VAE93","cg25770135",-0.57785653759165
"cg24307128","VAE93","cg24307128",-0.577794743550314
"cg20566449","VAE93","cg20566449",-0.577766983833475
"cg04757243","VAE93","cg04757243",-0.576866876586855
"cg05165825","VAE93","cg05165825",-0.576633034993604
"cg24585000","VAE93","cg24585000",-0.576555434595256
"cg05901447","VAE93","cg05901447",-0.576529987518106
"cg10115387","VAE93","cg10115387",-0.576412831572687
"cg06963182","VAE93","cg06963182",0.576340565847229
"cg15906761","VAE93","cg15906761",-0.576311035090231
"cg25647823","VAE93","cg25647823",-0.57587872110614
"cg03179496","VAE93","cg03179496",-0.575528607890563
"cg08009265","VAE93","cg08009265",-0.575327914451261
"cg03862787","VAE93","cg03862787",0.574724410764461
"cg07902983","VAE93","cg07902983",-0.574574084190725
"cg08631783","VAE93","cg08631783",-0.574548461032199
"cg02694732","VAE93","cg02694732",-0.574445037564884
"cg00402222","VAE93","cg00402222",-0.5743646378386
"cg21052104","VAE93","cg21052104",-0.573948854331307
"cg07854182","VAE93","cg07854182",-0.573882981238501
"cg26349474","VAE93","cg26349474",-0.573876070018938
"cg00871371","VAE93","cg00871371",0.57371426557451
"cg13522882","VAE93","cg13522882",0.573663513551965
"cg11842953","VAE93","cg11842953",-0.57324032991119
"cg09841842","VAE93","cg09841842",0.573202056230896
"cg23507802","VAE93","cg23507802",-0.573151875318897
"cg04914574","VAE93","cg04914574",-0.572989488339822
"cg12656291","VAE93","cg12656291",-0.572963959164129
"cg01014986","VAE93","cg01014986",-0.5722902001091
"cg02417427","VAE93","cg02417427",0.572268165806914
"cg09183146","VAE93","cg09183146",0.572267695999047
"cg13452769","VAE93","cg13452769",-0.572104750065093
"cg18922062","VAE93","cg18922062",-0.572031042484077
"cg02893604","VAE93","cg02893604",-0.571896493609319
"cg21611775","VAE93","cg21611775",-0.571736663386214
"cg27357918","VAE93","cg27357918",-0.57159201878603
"cg05547279","VAE93","cg05547279",-0.57138983566384
"cg18663621","VAE93","cg18663621",-0.571149835374032
"cg12604435","VAE93","cg12604435",-0.571056573555008
"cg06597541","VAE93","cg06597541",-0.570742830071221
"cg19913582","VAE93","cg19913582",-0.570639383016712
"cg06747288","VAE93","cg06747288",-0.570339021536902
"cg03976366","VAE93","cg03976366",-0.569984694571973
"cg00040708","VAE93","cg00040708",-0.569923919354471
"cg26070540","VAE93","cg26070540",-0.569672082982127
"cg13643886","VAE93","cg13643886",-0.569503560196718
"cg00532399","VAE93","cg00532399",-0.569406807533861
"cg12296552","VAE93","cg12296552",-0.569387558927438
"cg18366249","VAE93","cg18366249",-0.56906513295895
"cg13932450","VAE93","cg13932450",-0.568912520561584
"cg08700194","VAE93","cg08700194",-0.56890382662661
"cg07121050","VAE93","cg07121050",-0.568541599797655
"cg25547937","VAE93","cg25547937",-0.568416203293689
"cg18982568","VAE93","cg18982568",-0.568403716594072
"cg05710540","VAE93","cg05710540",-0.568382977237497
"cg06164973","VAE93","cg06164973",-0.568189783010957
"cg22619549","VAE93","cg22619549",-0.568143066416272
"cg09290705","VAE93","cg09290705",-0.567661883156557
"cg22830638","VAE93","cg22830638",-0.567633007005798
"cg27293090","VAE93","cg27293090",-0.567427332791515
"cg14035828","VAE93","cg14035828",-0.56740900475836
"cg15991104","VAE93","cg15991104",0.567028751491429
"cg26322781","VAE93","cg26322781",-0.566769918698212
"cg05914537","VAE93","cg05914537",-0.566674357980248
"cg13933373","VAE93","cg13933373",-0.56660411262034
"cg26014413","VAE93","cg26014413",-0.566431343185399
