"","nodeLabel","CpG","correlations"
"cg07986666","VAE37","cg07986666",0.641828638254279
"cg15229454","VAE37","cg15229454",0.625226734312428
"cg17787108","VAE37","cg17787108",0.624607546769654
"cg05398905","VAE37","cg05398905",0.619534373963092
"cg07652854","VAE37","cg07652854",0.618884737415252
"cg19788754","VAE37","cg19788754",0.618529378080231
"cg16271954","VAE37","cg16271954",0.617259434012537
"cg11586666","VAE37","cg11586666",0.616805422911854
"cg05989861","VAE37","cg05989861",0.612774318518335
"cg10828599","VAE37","cg10828599",0.611328999263323
"cg01052276","VAE37","cg01052276",0.611292778258912
"cg21814583","VAE37","cg21814583",0.608445121163959
"cg00907267","VAE37","cg00907267",0.605880210460855
"cg20325454","VAE37","cg20325454",0.605793423658197
"cg14898232","VAE37","cg14898232",0.605667079254819
"cg10198568","VAE37","cg10198568",0.605135259939293
"cg05979619","VAE37","cg05979619",0.604210548854493
"cg23811512","VAE37","cg23811512",0.600714611790434
"cg13150785","VAE37","cg13150785",0.600442734950402
"cg02384546","VAE37","cg02384546",0.600191613355999
"cg09450200","VAE37","cg09450200",0.60007526331733
"cg12813108","VAE37","cg12813108",0.59975440367333
"cg09147843","VAE37","cg09147843",0.599555299342414
"cg14445389","VAE37","cg14445389",0.599265200596311
"cg01466348","VAE37","cg01466348",0.598432418426543
"cg16557111","VAE37","cg16557111",0.598177811903752
"cg21807034","VAE37","cg21807034",0.598165150701305
"cg27534624","VAE37","cg27534624",0.597953287772614
"cg10841756","VAE37","cg10841756",0.597950256538832
"cg18205372","VAE37","cg18205372",0.597097182547473
"cg24047124","VAE37","cg24047124",0.595573912446089
"cg14414873","VAE37","cg14414873",0.593745659268564
"cg11197258","VAE37","cg11197258",0.592848498513105
"cg15035324","VAE37","cg15035324",0.592750013038602
"cg22442557","VAE37","cg22442557",0.59200400036509
"cg14255981","VAE37","cg14255981",0.591620511549532
"cg00061185","VAE37","cg00061185",0.590617566215088
"cg09606832","VAE37","cg09606832",0.589859837804911
"cg01083652","VAE37","cg01083652",0.589348090424815
"cg00366413","VAE37","cg00366413",0.589185675289411
"cg19343518","VAE37","cg19343518",0.588529611496859
"cg07114009","VAE37","cg07114009",0.588185257554517
"cg14213581","VAE37","cg14213581",0.58712344216202
"cg20050828","VAE37","cg20050828",0.587091375578375
"cg16317901","VAE37","cg16317901",0.587051415834474
"cg02696067","VAE37","cg02696067",0.586712879562966
"cg02872476","VAE37","cg02872476",0.585355679165507
"cg14558568","VAE37","cg14558568",0.585092847680799
"cg16503628","VAE37","cg16503628",0.584911954911364
"cg13464573","VAE37","cg13464573",0.583737041309047
"cg19574297","VAE37","cg19574297",0.58298183709227
"cg23085281","VAE37","cg23085281",0.581417465708396
"cg13475704","VAE37","cg13475704",0.581107179297425
"cg21211730","VAE37","cg21211730",0.580886801215955
"cg10657965","VAE37","cg10657965",0.580138415395453
"cg01771850","VAE37","cg01771850",0.579507841377733
"cg19715094","VAE37","cg19715094",0.579053160470215
"cg03535099","VAE37","cg03535099",0.578498018093854
"cg13445604","VAE37","cg13445604",0.578383980142146
"cg02383368","VAE37","cg02383368",0.578234995002026
"cg18932078","VAE37","cg18932078",0.577623052465649
"cg09820557","VAE37","cg09820557",0.576802379099019
"cg16199280","VAE37","cg16199280",0.576301352556717
"cg04840051","VAE37","cg04840051",0.575775922724342
"cg10711528","VAE37","cg10711528",0.575733397455946
"cg19794481","VAE37","cg19794481",0.575339712060305
"cg13959014","VAE37","cg13959014",0.575312875039739
"cg19788250","VAE37","cg19788250",0.574804939540135
"cg10028434","VAE37","cg10028434",0.574802611980306
"cg20262021","VAE37","cg20262021",0.574014433154758
"cg19883472","VAE37","cg19883472",0.573975078711194
"cg04376782","VAE37","cg04376782",0.57261959481112
"cg08549216","VAE37","cg08549216",0.572533948179509
"cg16773162","VAE37","cg16773162",0.572120540867209
"cg11191368","VAE37","cg11191368",0.570277784752364
"cg23221723","VAE37","cg23221723",0.570269214841134
"cg10265016","VAE37","cg10265016",0.569845741809075
"cg05401069","VAE37","cg05401069",0.569150356043941
"cg03676636","VAE37","cg03676636",0.568915270048141
"cg09527615","VAE37","cg09527615",0.568660248853975
"cg26076724","VAE37","cg26076724",0.568105745905058
"cg04889043","VAE37","cg04889043",0.567715997876313
"cg24464789","VAE37","cg24464789",0.56736043968908
"cg25463742","VAE37","cg25463742",0.567263191905193
"cg13104187","VAE37","cg13104187",0.566643965665817
"cg11345955","VAE37","cg11345955",0.566590497550344
"cg05905309","VAE37","cg05905309",0.56627778386497
"cg20911180","VAE37","cg20911180",-0.566066067396673
"cg17868307","VAE37","cg17868307",0.56574930760432
"cg17344048","VAE37","cg17344048",0.565262075471333
"cg26400275","VAE37","cg26400275",0.565107555806172
"cg13616930","VAE37","cg13616930",0.564994559835111
"cg15569292","VAE37","cg15569292",0.564818323105312
"cg10492240","VAE37","cg10492240",0.564461234091703
"cg03292149","VAE37","cg03292149",0.56444069496051
"cg22396959","VAE37","cg22396959",0.564196273417608
"cg00207921","VAE37","cg00207921",0.564143758904872
"cg16223976","VAE37","cg16223976",0.56342336040129
"cg12109883","VAE37","cg12109883",0.562413540543162
"cg13239713","VAE37","cg13239713",0.562167350245979
"cg23466769","VAE37","cg23466769",0.562020640849845
"cg03278514","VAE37","cg03278514",-0.561506537152729
"cg15712510","VAE37","cg15712510",0.561411727254726
"cg10369242","VAE37","cg10369242",0.561190340773737
"cg03519907","VAE37","cg03519907",0.561094237135853
"cg07997333","VAE37","cg07997333",0.56083919581846
"cg14817765","VAE37","cg14817765",0.560680074489587
"cg09565226","VAE37","cg09565226",0.560465295453278
"cg00235460","VAE37","cg00235460",0.560092963204608
"cg15913875","VAE37","cg15913875",0.559094709543841
"cg23928468","VAE37","cg23928468",0.558577582623588
"cg00335591","VAE37","cg00335591",0.556885492211519
"cg13635184","VAE37","cg13635184",0.556724643338611
"cg03685774","VAE37","cg03685774",0.556664990200356
"cg01829342","VAE37","cg01829342",0.555442680651826
"cg20544808","VAE37","cg20544808",0.554785066488462
"cg12363726","VAE37","cg12363726",0.554161997280079
"cg14883070","VAE37","cg14883070",0.554006862605053
"cg25360385","VAE37","cg25360385",0.55393656377917
"cg01985482","VAE37","cg01985482",0.553599122965499
"cg02741985","VAE37","cg02741985",0.553590374308865
"cg08500171","VAE37","cg08500171",0.552837911553883
