"","nodeLabel","CpG","correlations"
"cg04218548","VAE35","cg04218548",-0.683758305343951
"cg09506001","VAE35","cg09506001",-0.674947199925806
"cg03651219","VAE35","cg03651219",-0.666119425792827
"cg04768463","VAE35","cg04768463",-0.665992677103625
"cg18957070","VAE35","cg18957070",-0.664423308740036
"cg12364994","VAE35","cg12364994",-0.66397245793997
"cg04962865","VAE35","cg04962865",-0.663167565236021
"cg22375757","VAE35","cg22375757",-0.660631904933512
"cg01571842","VAE35","cg01571842",-0.655851895287061
"cg11256956","VAE35","cg11256956",-0.655052710973294
"cg16063018","VAE35","cg16063018",-0.646508423268538
"cg10824259","VAE35","cg10824259",-0.646000363193313
"cg05447343","VAE35","cg05447343",-0.642895994730613
"cg24416660","VAE35","cg24416660",-0.642535677018796
"cg18750819","VAE35","cg18750819",-0.641097547607471
"cg25460340","VAE35","cg25460340",-0.640059451469914
"cg01471036","VAE35","cg01471036",-0.637238510908386
"cg12243738","VAE35","cg12243738",-0.637202402002508
"cg09559798","VAE35","cg09559798",-0.637030796837436
"cg12428326","VAE35","cg12428326",-0.636777905394501
"cg10862567","VAE35","cg10862567",-0.635680246245874
"cg25334934","VAE35","cg25334934",-0.635404994486613
"cg25581330","VAE35","cg25581330",0.635035525263584
"cg16515546","VAE35","cg16515546",-0.634702071941412
"cg26349299","VAE35","cg26349299",-0.63406700959127
"cg16226586","VAE35","cg16226586",-0.632173480924611
"cg13618969","VAE35","cg13618969",-0.632163960881728
"cg24563703","VAE35","cg24563703",-0.631505226116434
"cg06823060","VAE35","cg06823060",-0.631276829600528
"cg00710180","VAE35","cg00710180",-0.631027164263809
"cg16362786","VAE35","cg16362786",-0.63071683512463
"cg02744046","VAE35","cg02744046",-0.630250395355511
"cg23109891","VAE35","cg23109891",-0.628998192414377
"cg04732324","VAE35","cg04732324",-0.628055866544305
"cg03393769","VAE35","cg03393769",-0.628038626749222
"cg21944455","VAE35","cg21944455",-0.627982831766715
"cg14378348","VAE35","cg14378348",-0.625573553608271
"cg15516835","VAE35","cg15516835",-0.624794711577896
"cg19993680","VAE35","cg19993680",-0.623698470927751
"cg26597734","VAE35","cg26597734",-0.623381851760797
"cg13401071","VAE35","cg13401071",-0.621300605429654
"cg21542078","VAE35","cg21542078",-0.621032352509429
"cg05600126","VAE35","cg05600126",-0.620913561961802
"cg20893203","VAE35","cg20893203",0.620432885516849
"cg18744792","VAE35","cg18744792",-0.617765692385534
"cg04550950","VAE35","cg04550950",-0.617741177905709
"cg25656762","VAE35","cg25656762",-0.617699690473326
"cg22079057","VAE35","cg22079057",-0.616835417312115
"cg13270236","VAE35","cg13270236",-0.616455361316879
"cg25695568","VAE35","cg25695568",-0.616149488020873
"cg14308466","VAE35","cg14308466",-0.614379727438555
"cg06282596","VAE35","cg06282596",-0.614329928420079
"cg11603201","VAE35","cg11603201",-0.614165985732796
"cg12797070","VAE35","cg12797070",-0.613879606418847
"cg19538115","VAE35","cg19538115",-0.613026350005648
"cg21300267","VAE35","cg21300267",-0.611874779481077
"cg19023552","VAE35","cg19023552",-0.611696483431221
"cg07026490","VAE35","cg07026490",-0.611672718621243
"cg21908673","VAE35","cg21908673",-0.610689243557609
"cg13692655","VAE35","cg13692655",-0.61034118806519
"cg02693157","VAE35","cg02693157",0.610252933886432
"cg14757311","VAE35","cg14757311",-0.610214711762967
"cg03351003","VAE35","cg03351003",-0.609551011917861
"cg02455706","VAE35","cg02455706",-0.609385381795244
"cg14906976","VAE35","cg14906976",-0.60932695319017
"cg13380612","VAE35","cg13380612",-0.609211747217779
"cg26906629","VAE35","cg26906629",-0.609029986879307
"cg08622666","VAE35","cg08622666",0.60885675998425
"cg23657809","VAE35","cg23657809",-0.608844511336033
"cg16797514","VAE35","cg16797514",-0.60842111460316
"cg11730559","VAE35","cg11730559",-0.608153284882174
"cg25152942","VAE35","cg25152942",-0.607811110326725
"cg09419444","VAE35","cg09419444",-0.607733697528683
