"","nodeLabel","CpG","correlations"
"cg01739446","VAE47","cg01739446",-0.632009891124768
"cg07138686","VAE47","cg07138686",-0.58895729199716
"cg11729107","VAE47","cg11729107",-0.556571712979548
"cg22650271","VAE47","cg22650271",-0.54793860515585
"cg20283292","VAE47","cg20283292",-0.536601369563418
"cg16967578","VAE47","cg16967578",-0.535828014775209
"cg06729034","VAE47","cg06729034",-0.534959619491251
"cg22825360","VAE47","cg22825360",-0.531545038595013
"cg17194270","VAE47","cg17194270",-0.530375752947896
"cg11652982","VAE47","cg11652982",-0.526620860193281
"cg11422846","VAE47","cg11422846",-0.519794439127647
"cg11541703","VAE47","cg11541703",-0.519621080358037
"cg09825670","VAE47","cg09825670",-0.519145244197042
"cg09996597","VAE47","cg09996597",-0.517831441447388
"cg24851818","VAE47","cg24851818",-0.515676817373426
"cg25608555","VAE47","cg25608555",-0.514749269165791
"cg02661007","VAE47","cg02661007",-0.512151789213025
"cg12587213","VAE47","cg12587213",-0.510344952846467
"cg23630248","VAE47","cg23630248",-0.510244903065598
"cg07224221","VAE47","cg07224221",-0.50960505387246
"cg03000869","VAE47","cg03000869",-0.507856203026944
"cg11390489","VAE47","cg11390489",-0.50506750734757
"cg09035152","VAE47","cg09035152",-0.504887321039669
"cg26536164","VAE47","cg26536164",-0.503308746171999
"cg20086219","VAE47","cg20086219",0.5029758072256
"cg12373208","VAE47","cg12373208",0.502826391565294
"cg23643100","VAE47","cg23643100",-0.501605237222839
"cg08705329","VAE47","cg08705329",-0.501369136211146
"cg12392557","VAE47","cg12392557",-0.500920558603197
"cg11847543","VAE47","cg11847543",-0.500339520279568
