"","nodeLabel","CpG","correlations"
"cg03812562","VAE63","cg03812562",0.751423356505426
"cg13123025","VAE63","cg13123025",0.746181482410817
"cg19439651","VAE63","cg19439651",0.739277691423972
"cg15957413","VAE63","cg15957413",0.728263066997644
"cg23742930","VAE63","cg23742930",0.727592669805686
"cg11005943","VAE63","cg11005943",0.725414143302088
"cg04788926","VAE63","cg04788926",0.723423445427133
"cg15001618","VAE63","cg15001618",0.722068597929695
"cg25582105","VAE63","cg25582105",0.721598876870185
"cg08533934","VAE63","cg08533934",0.721093760371973
"cg04181327","VAE63","cg04181327",0.720459299785083
"cg25033144","VAE63","cg25033144",0.716224858162178
"cg05142358","VAE63","cg05142358",0.715270340591728
"cg17035109","VAE63","cg17035109",0.713954831415446
"cg19673995","VAE63","cg19673995",0.712985632027294
"cg07621803","VAE63","cg07621803",0.711757997145039
"cg25299011","VAE63","cg25299011",0.711002877122964
"cg20480070","VAE63","cg20480070",0.709920325451889
"cg15115960","VAE63","cg15115960",0.708985116684808
"cg18601466","VAE63","cg18601466",0.708281455730361
"cg21383592","VAE63","cg21383592",0.708261446830215
"cg01200389","VAE63","cg01200389",0.708133259893072
"cg22501885","VAE63","cg22501885",0.707842326045302
"cg05640294","VAE63","cg05640294",0.70750675385265
"cg05329879","VAE63","cg05329879",0.706950586133495
"cg14130696","VAE63","cg14130696",0.705542640079089
"cg13593284","VAE63","cg13593284",0.705117365900779
"cg04009108","VAE63","cg04009108",0.703814627048859
"cg17633170","VAE63","cg17633170",0.703546074616838
"cg17759564","VAE63","cg17759564",0.702887073875079
"cg04973802","VAE63","cg04973802",0.702144900696527
"cg13990685","VAE63","cg13990685",0.702106044890867
"cg10198171","VAE63","cg10198171",0.701859229812364
"cg17603105","VAE63","cg17603105",0.701852354347974
"cg13311832","VAE63","cg13311832",0.701042404369368
"cg16525260","VAE63","cg16525260",0.700821874748279
"cg02330719","VAE63","cg02330719",0.70071039390339
"cg12589157","VAE63","cg12589157",0.700386622480888
"cg20057398","VAE63","cg20057398",0.700167875139513
"cg25573480","VAE63","cg25573480",0.700135212716074
"cg09278610","VAE63","cg09278610",0.699888712278434
"cg20933239","VAE63","cg20933239",0.699521423820564
"cg09870721","VAE63","cg09870721",0.698051358502376
"cg17521120","VAE63","cg17521120",0.698031154377972
"cg10002131","VAE63","cg10002131",0.697311641363281
"cg12465250","VAE63","cg12465250",0.696436079879676
"cg10142863","VAE63","cg10142863",0.696260648822779
"cg04024799","VAE63","cg04024799",0.696052758864785
"cg00542775","VAE63","cg00542775",0.695816160802093
"cg12381873","VAE63","cg12381873",0.69571551904581
"cg08996613","VAE63","cg08996613",0.694910380698879
"cg01853665","VAE63","cg01853665",0.694358990353186
"cg14144469","VAE63","cg14144469",0.694297996074635
"cg00416400","VAE63","cg00416400",0.694292485820846
"cg13816414","VAE63","cg13816414",0.694171689891071
"cg14021325","VAE63","cg14021325",0.693836972140927
"cg27445005","VAE63","cg27445005",0.693733382336192
"cg24148663","VAE63","cg24148663",0.693355160205342
"cg11917579","VAE63","cg11917579",0.693315258656996
"cg17474920","VAE63","cg17474920",0.693038978758909
"cg00772850","VAE63","cg00772850",0.69287658978117
"cg25460281","VAE63","cg25460281",0.692818870098101
"cg08886154","VAE63","cg08886154",0.692799808308571
"cg21596825","VAE63","cg21596825",0.6926100635459
"cg04212340","VAE63","cg04212340",0.692358140058061
"cg17870959","VAE63","cg17870959",0.692203244020842
"cg26432128","VAE63","cg26432128",0.692059230401246
"cg20763594","VAE63","cg20763594",0.691893072249255
"cg02735829","VAE63","cg02735829",0.69174173771015
"cg17261211","VAE63","cg17261211",0.691478569504606
"cg08875451","VAE63","cg08875451",0.691453422028721
"cg22507887","VAE63","cg22507887",0.690964180236577
"cg04330874","VAE63","cg04330874",0.690807609002251
"cg24076502","VAE63","cg24076502",0.6902845604809
"cg16847800","VAE63","cg16847800",0.690037150145627
"cg25738340","VAE63","cg25738340",0.689566387590085
"cg16184597","VAE63","cg16184597",0.689494979783233
"cg21848981","VAE63","cg21848981",0.689363312030421
"cg06553736","VAE63","cg06553736",0.689323756246517
"cg00215133","VAE63","cg00215133",0.688538843022826
