"","nodeLabel","CpG","correlations"
"cg03032552","VAE43","cg03032552",-0.756939522659675
"cg06183267","VAE43","cg06183267",-0.752614415201627
"cg00757207","VAE43","cg00757207",-0.7493252372746
"cg13415831","VAE43","cg13415831",-0.748874029762889
"cg03569637","VAE43","cg03569637",-0.74832163485629
"cg06901890","VAE43","cg06901890",-0.748110381634055
"cg21171858","VAE43","cg21171858",-0.747344351299155
"cg23497683","VAE43","cg23497683",-0.745885397350776
"cg26842802","VAE43","cg26842802",-0.744688809667875
"cg11594821","VAE43","cg11594821",-0.743271948667617
"cg07349094","VAE43","cg07349094",-0.740758489190787
"cg18696027","VAE43","cg18696027",-0.740390333859171
"cg21145245","VAE43","cg21145245",-0.739478182664659
"cg19459094","VAE43","cg19459094",-0.739143301205208
"cg25671438","VAE43","cg25671438",-0.738370115572477
"cg02543462","VAE43","cg02543462",-0.738034652627792
"cg18581405","VAE43","cg18581405",-0.737967790372394
"cg07462448","VAE43","cg07462448",-0.735599791847459
"cg03087897","VAE43","cg03087897",-0.734918981799862
"cg11802899","VAE43","cg11802899",-0.73451515694788
"cg21376733","VAE43","cg21376733",-0.733646981713118
"cg23691006","VAE43","cg23691006",-0.733500983821069
"cg16389078","VAE43","cg16389078",-0.732199612028146
"cg06068897","VAE43","cg06068897",-0.731764372575699
"cg16472369","VAE43","cg16472369",-0.731093684428721
"cg15691199","VAE43","cg15691199",-0.730344772098286
"cg20399011","VAE43","cg20399011",-0.730049509920577
"cg12835118","VAE43","cg12835118",-0.729559017776875
"cg16487097","VAE43","cg16487097",-0.728716766890263
"cg08055663","VAE43","cg08055663",-0.728309406665141
"cg03003434","VAE43","cg03003434",-0.728232249149188
"cg02499214","VAE43","cg02499214",-0.728195656183287
"cg25451702","VAE43","cg25451702",-0.727148367839345
"cg27486585","VAE43","cg27486585",-0.726940142563396
"cg21939215","VAE43","cg21939215",-0.726788231961847
"cg04517263","VAE43","cg04517263",-0.726623899632569
"cg23966363","VAE43","cg23966363",-0.726581945374376
"cg26427090","VAE43","cg26427090",-0.726027722892831
"cg11176159","VAE43","cg11176159",-0.725769144392053
"cg15046675","VAE43","cg15046675",-0.725539761613054
"cg22595391","VAE43","cg22595391",-0.724794193295287
"cg11550234","VAE43","cg11550234",-0.724382018221452
"cg05117638","VAE43","cg05117638",-0.722864867582859
"cg07222861","VAE43","cg07222861",-0.722737180263995
"cg23352695","VAE43","cg23352695",-0.722654098486406
"cg09655403","VAE43","cg09655403",0.722387159486898
"cg26842815","VAE43","cg26842815",-0.72193405679145
"cg01735277","VAE43","cg01735277",-0.721707872738215
"cg09638208","VAE43","cg09638208",-0.72170054902917
"cg18128887","VAE43","cg18128887",-0.721644961604872
"cg07324702","VAE43","cg07324702",-0.721574015783942
"cg21221767","VAE43","cg21221767",-0.720344625458391
"cg10200202","VAE43","cg10200202",-0.720239732315576
"cg18949192","VAE43","cg18949192",-0.719475705745501
"cg19443920","VAE43","cg19443920",0.718747734059912
"cg03654273","VAE43","cg03654273",-0.718559148219234
"cg12253437","VAE43","cg12253437",-0.718432493853409
"cg09354037","VAE43","cg09354037",-0.718292301503169
"cg03783907","VAE43","cg03783907",-0.717817250181824
"cg12177677","VAE43","cg12177677",-0.717338372971346
"cg10273135","VAE43","cg10273135",0.717152503320287
"cg13152690","VAE43","cg13152690",-0.716955918849406
"cg20656587","VAE43","cg20656587",-0.716702532844916
"cg16379283","VAE43","cg16379283",-0.716701924222377
"cg23953831","VAE43","cg23953831",-0.71626269246987
"cg04524478","VAE43","cg04524478",-0.716130733780132
"cg13635516","VAE43","cg13635516",-0.716109859976806
"cg21188037","VAE43","cg21188037",-0.716054066389872
"cg15375424","VAE43","cg15375424",-0.715965275499503
"cg01631215","VAE43","cg01631215",-0.715527614205219
"cg14087413","VAE43","cg14087413",-0.715041353306257
"cg06152215","VAE43","cg06152215",-0.714999150176274
"cg24459792","VAE43","cg24459792",-0.714990352622156
"cg21057323","VAE43","cg21057323",-0.714650400317721
"cg21506299","VAE43","cg21506299",-0.713877795317365
"cg07860918","VAE43","cg07860918",-0.713509764884728
"cg00611789","VAE43","cg00611789",0.713253679992196
"cg23482747","VAE43","cg23482747",-0.713063131336871
"cg04685228","VAE43","cg04685228",-0.712259991184902
"cg21366673","VAE43","cg21366673",-0.711985859392055
"cg27168076","VAE43","cg27168076",-0.71198260378231
"cg12492900","VAE43","cg12492900",-0.711387885621561
"cg00035969","VAE43","cg00035969",-0.710027017196346
"cg27482619","VAE43","cg27482619",-0.709705538791233
"cg10773266","VAE43","cg10773266",-0.709651732818948
"cg26363363","VAE43","cg26363363",-0.70964081097879
"cg00776080","VAE43","cg00776080",0.709564194327073
"cg25304198","VAE43","cg25304198",-0.709464663193981
"cg08735211","VAE43","cg08735211",-0.709126216504653
"cg02326386","VAE43","cg02326386",-0.709111479141774
"cg09241703","VAE43","cg09241703",-0.709050303343981
"cg07682037","VAE43","cg07682037",-0.708794288514671
"cg13857210","VAE43","cg13857210",-0.708605154026974
"cg18518916","VAE43","cg18518916",-0.708567590992696
"cg23093496","VAE43","cg23093496",-0.708244277181109
"cg23843705","VAE43","cg23843705",-0.708187260585566
"cg11381564","VAE43","cg11381564",-0.708187065686566
"cg19136673","VAE43","cg19136673",-0.708136369458105
"cg13165140","VAE43","cg13165140",-0.708047822736405
"cg01963224","VAE43","cg01963224",-0.707832325423169
"cg19021985","VAE43","cg19021985",-0.707670756886924
"cg04154027","VAE43","cg04154027",0.707384892525624
"cg27072025","VAE43","cg27072025",-0.70697433370367
"cg26017930","VAE43","cg26017930",-0.706588256713139
"cg15059065","VAE43","cg15059065",0.706355652252228
"cg07499032","VAE43","cg07499032",-0.705934625434583
"cg03050022","VAE43","cg03050022",-0.705812157001104
"cg24504194","VAE43","cg24504194",-0.704794010437177
"cg25616547","VAE43","cg25616547",-0.704519568737996
"cg08422793","VAE43","cg08422793",-0.704086735538593
"cg22514722","VAE43","cg22514722",-0.70403457870264
"cg01026796","VAE43","cg01026796",0.703721437111856
"cg00587301","VAE43","cg00587301",-0.703623123289351
"cg09037630","VAE43","cg09037630",-0.703592967373149
