"","N","DE","P.DE","FDR"
"PILON_KLF1_TARGETS_DN",1972,160,0,0
"MARTENS_BOUND_BY_PML_RARA_FUSION",456,73,3.84200697688127e-11,9.07674148288201e-08
"GARY_CD5_TARGETS_UP",473,59,4.14239207080537e-10,6.52426751151846e-07
"CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP",450,58,6.93489405322735e-09,8.19184360037481e-06
"RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN",805,86,1.33438485027749e-08,1.26099368351222e-05
"DACOSTA_UV_RESPONSE_VIA_ERCC3_DN",855,89,4.77641718229252e-08,3.76142853105536e-05
"DAZARD_RESPONSE_TO_UV_NHEK_DN",318,42,5.89248028181456e-08,3.97742419022483e-05
"ZHENG_BOUND_BY_FOXP3",491,64,1.09303716433324e-07,6.22873814060253e-05
"RICKMAN_METASTASIS_DN",261,40,1.33226050293484e-07,6.22873814060253e-05
"AMUNDSON_POOR_SURVIVAL_AFTER_GAMMA_RADIATION_8G",95,21,1.39703379702323e-07,6.22873814060253e-05
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",137,24,1.45007660416144e-07,6.22873814060253e-05
"LIM_MAMMARY_STEM_CELL_DN",428,51,1.67803809414278e-07,6.60727499568721e-05
"RUTELLA_RESPONSE_TO_HGF_DN",235,38,1.83212284057296e-07,6.65906186285173e-05
"MARSON_BOUND_BY_FOXP3_STIMULATED",1022,82,2.17614204094064e-07,7.34447938817464e-05
"PID_PI3KCI_PATHWAY",49,15,3.13709744914057e-07,9.88185696479281e-05
"COLDREN_GEFITINIB_RESISTANCE_DN",230,35,3.59007880641782e-07,0.000106019514752026
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS",40,12,5.52451731026501e-07,0.000148397085069636
"SMID_BREAST_CANCER_NORMAL_LIKE_UP",476,69,5.70978442191161e-07,0.000148397085069636
"LEE_DIFFERENTIATING_T_LYMPHOCYTE",200,32,5.96729019327636e-07,0.000148397085069636
"TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_DN",187,34,7.720264218091e-07,0.0001823912421524
"CHEN_METABOLIC_SYNDROM_NETWORK",1210,120,8.79691739904688e-07,0.000197930641478555
"BASSO_CD40_SIGNALING_UP",101,22,1.16112592948395e-06,0.000249378182582349
"LI_INDUCED_T_TO_NATURAL_KILLER_UP",307,42,1.41373269598165e-06,0.000290429869065796
"WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP",265,34,1.57733313266263e-06,0.000310537460492956
"CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_1",528,55,1.70239526017179e-06,0.000321752704172467
"PID_CD8_TCR_PATHWAY",53,15,2.03629676213106e-06,0.000338555442779904
"ZHENG_FOXP3_TARGETS_IN_THYMUS_UP",196,29,2.05126550837441e-06,0.000338555442779904
"MARSON_BOUND_BY_FOXP3_UNSTIMULATED",1229,92,2.06010335403155e-06,0.000338555442779904
"ONO_FOXP3_TARGETS_DN",42,13,2.07790642129465e-06,0.000338555442779904
"GOZGIT_ESR1_TARGETS_DN",781,83,2.29659272572493e-06,0.000361713354301676
"PHONG_TNF_RESPONSE_NOT_VIA_P38",337,45,2.45443998668915e-06,0.000367004718963747
"THEILGAARD_NEUTROPHIL_AT_SKIN_WOUND_DN",225,31,2.55680245865598e-06,0.000367004718963747
"PID_TCR_PATHWAY",66,17,2.56320756101664e-06,0.000367004718963747
"WALLACE_PROSTATE_CANCER_RACE_UP",299,42,3.0322352829519e-06,0.000421391520939639
"PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_DN",165,28,3.65711769905733e-06,0.00049371088937274
"REACTOME_APOPTOTIC_EXECUTION_PHASE",54,12,4.18022113405086e-06,0.000548654023844175
"POOLA_INVASIVE_BREAST_CANCER_UP",288,38,4.34421785681261e-06,0.000554768361444313
"SANSOM_APC_TARGETS_DN",366,50,4.68831765851233e-06,0.000565148728082432
"THILLAINADESAN_ZNF217_TARGETS_DN",9,4,4.70231157219641e-06,0.000565148728082432
"AMUNDSON_POOR_SURVIVAL_AFTER_GAMMA_RADIATION_2G",171,26,4.78432785678249e-06,0.000565148728082432
"VANTVEER_BREAST_CANCER_ESR1_UP",167,27,5.39262718510461e-06,0.000621467401210227
"GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN",1781,128,5.75942603636279e-06,0.000647935429090814
"SMIRNOV_RESPONSE_TO_IR_6HR_DN",114,19,6.1178487877454e-06,0.000667705858927099
"MULLIGHAN_MLL_SIGNATURE_1_UP",380,44,6.21779000905658e-06,0.000667705858927099
"RODWELL_AGING_KIDNEY_UP",487,60,8.99877326357483e-06,0.000944871192675357
"KRIGE_RESPONSE_TO_TOSEDOSTAT_24HR_UP",783,66,1.01106606130505e-05,0.00103854068253616
"NIELSEN_SYNOVIAL_SARCOMA_DN",20,7,1.43188340123414e-05,0.00141563258055983
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",108,19,1.43810293898141e-05,0.00141563258055983
"WIELAND_UP_BY_HBV_INFECTION",101,17,1.5920576141804e-05,0.00153519841367396
"GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN",1080,102,1.75116430784012e-05,0.001635078464474
