"","Term","Ont","N","DE","P.DE","FDR"
"GO:0005515","protein binding","MF",6269,627,5.72744308331371e-13,1.12973814818363e-08
"GO:0007155","cell adhesion","BP",1360,195,9.61175916231249e-11,9.11739238288233e-07
"GO:0022610","biological adhesion","BP",1365,195,1.38667564758667e-10,9.11739238288233e-07
"GO:0098609","cell-cell adhesion","BP",914,140,3.46816633288059e-10,1.71023952290174e-06
"GO:0002376","immune system process","BP",1741,210,5.65422728578817e-09,2.23059266424343e-05
"GO:0045321","leukocyte activation","BP",538,86,1.70501587833833e-08,5.60523970003725e-05
"GO:0030155","regulation of cell adhesion","BP",501,84,2.87672104031764e-08,8.10618893146649e-05
"GO:0046649","lymphocyte activation","BP",458,75,5.1844104588658e-08,0.000116777362395736
"GO:0002682","regulation of immune system process","BP",943,127,5.55106101445407e-08,0.000116777362395736
"GO:0005737","cytoplasm","CC",7233,664,5.920271857832e-08,0.000116777362395736
"GO:0005829","cytosol","CC",2250,239,7.96907768786222e-08,0.000142900052175529
"GO:0005488","binding","MF",9154,826,1.05664802142934e-07,0.000173686518522447
"GO:0005912","adherens junction","CC",519,79,1.21070348721494e-07,0.000183700971425498
"GO:0070161","anchoring junction","CC",531,80,1.42684828676373e-07,0.000201032731831533
"GO:0007159","leukocyte cell-cell adhesion","BP",367,63,1.81416475662319e-07,0.000238562665495949
"GO:0016337","single organismal cell-cell adhesion","BP",570,89,1.96376776532437e-07,0.000242095744818895
"GO:0001775","cell activation","BP",667,97,2.61894354999404e-07,0.000303874479550779
"GO:0030036","actin cytoskeleton organization","BP",449,72,3.50762201945624e-07,0.000384376912965412
"GO:0048583","regulation of response to stimulus","BP",2592,291,3.87749963090498e-07,0.000384773285376939
"GO:0002684","positive regulation of immune system process","BP",648,92,3.90137678455705e-07,0.000384773285376939
"GO:0098602","single organism cell adhesion","BP",611,92,4.23444441123959e-07,0.000397735314341433
"GO:0005622","intracellular","CC",9396,826,8.13250230366417e-07,0.000729152763362617
"GO:0016477","cell migration","BP",984,138,9.50521230549928e-07,0.000815175272721623
"GO:0015629","actin cytoskeleton","CC",367,61,1.02712325374643e-06,0.000844166924172846
"GO:0022407","regulation of cell-cell adhesion","BP",301,54,1.18955530485172e-06,0.000938559135528006
"GO:0007166","cell surface receptor signaling pathway","BP",2007,238,1.46311553885192e-06,0.00107954612357265
"GO:0006955","immune response","BP",1103,134,1.52024735439039e-06,0.00107954612357265
"GO:0005654","nucleoplasm","CC",1856,189,1.58294009312812e-06,0.00107954612357265
"GO:0030054","cell junction","CC",1053,140,1.59149526886734e-06,0.00107954612357265
"GO:0019900","kinase binding","MF",443,67,1.66211727370083e-06,0.00107954612357265
"GO:0042110","T cell activation","BP",333,56,1.75135492797591e-06,0.00107954612357265
"GO:0070489","T cell aggregation","BP",333,56,1.75135492797591e-06,0.00107954612357265
"GO:0035556","intracellular signal transduction","BP",1919,220,1.95894686614989e-06,0.00115797233394758
"GO:0071593","lymphocyte aggregation","BP",334,56,1.99599793937732e-06,0.00115797233394758
"GO:0070486","leukocyte aggregation","BP",341,57,2.29014942156362e-06,0.00129066278115264
"GO:0019901","protein kinase binding","MF",394,61,2.41602098463153e-06,0.00132377816449603
"GO:0048870","cell motility","BP",1075,146,2.9637680084588e-06,0.001538429578075
"GO:0051674","localization of cell","BP",1075,146,2.9637680084588e-06,0.001538429578075
"GO:0005925","focal adhesion","CC",293,50,3.51427178794897e-06,0.00177741053890496
"GO:0005856","cytoskeleton","CC",1446,164,3.8024556707478e-06,0.00187508595263751
"GO:0030029","actin filament-based process","BP",523,79,3.9188791258113e-06,0.00188536318918605
"GO:0048584","positive regulation of response to stimulus","BP",1442,174,4.10702649483219e-06,0.00192199622602262
"GO:0005924","cell-substrate adherens junction","CC",295,50,4.18990305292638e-06,0.00192199622602262
"GO:0002429","immune response-activating cell surface receptor signaling pathway","BP",215,38,4.35931285783635e-06,0.00195426013910959
"GO:0048522","positive regulation of cellular process","BP",3420,364,4.55597733010911e-06,0.00199703672969782
"GO:0030055","cell-substrate junction","CC",297,50,5.02871062009268e-06,0.00215633297785496
"GO:0044428","nuclear part","CC",2441,235,8.96855817368088e-06,0.00376393212714586
"GO:0048518","positive regulation of biological process","BP",3800,397,9.91487537187355e-06,0.00407439409812929
"GO:1902589","single-organism organelle organization","BP",1164,135,1.04986598631673e-05,0.00422624624083621
"GO:0007229","integrin-mediated signaling pathway","BP",75,20,1.08372349203867e-05,0.00427528917609256
