"","N","DE","P.DE","FDR"
"CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP",380,88,0,0
"DACOSTA_UV_RESPONSE_VIA_ERCC3_DN",855,135,0,0
"CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP",450,85,5.5353852002887e-12,8.7182316904547e-09
"VANTVEER_BREAST_CANCER_ESR1_UP",167,43,9.25371465579523e-10,9.40302938975033e-07
"SMID_BREAST_CANCER_BASAL_DN",701,123,9.95029565052945e-10,9.40302938975033e-07
"RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN",805,114,3.73619452037351e-08,2.94225318479414e-05
"DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN",483,75,1.47183498059576e-07,9.93488611902138e-05
"YANG_BREAST_CANCER_ESR1_UP",36,16,3.83713017872891e-07,0.000226630501181176
"PILON_KLF1_TARGETS_DN",1972,190,4.59032238434031e-07,0.000230518854766727
"CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5",482,75,5.36115033231877e-07,0.000230518854766727
"GOZGIT_ESR1_TARGETS_DN",781,115,5.36657651308782e-07,0.000230518854766727
"SMID_BREAST_CANCER_RELAPSE_IN_BRAIN_DN",85,23,7.21029393727197e-07,0.000283905323780084
"HUANG_DASATINIB_RESISTANCE_DN",69,20,1.35022032077351e-06,0.000490753155050371
"MARTINEZ_RESPONSE_TO_TRABECTEDIN",50,18,1.79597628515119e-06,0.000606141996238527
"CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_1",528,70,1.8301889485892e-05,0.00529060248078659
"DOANE_BREAST_CANCER_ESR1_UP",112,27,1.87162767902659e-05,0.00529060248078659
"LIM_MAMMARY_STEM_CELL_DN",428,61,1.90349718885444e-05,0.00529060248078659
"FARMER_BREAST_CANCER_CLUSTER_6",16,8,2.25567186134765e-05,0.00592113863603759
"BHAT_ESR1_TARGETS_VIA_AKT1_UP",281,52,2.41021279849055e-05,0.00599381866993044
"STOSSI_RESPONSE_TO_ESTRADIOL",50,15,2.79721809374894e-05,0.00617029222206256
"SCHEIDEREIT_IKK_TARGETS",18,7,2.85717693267153e-05,0.00617029222206256
"SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_DN",84,21,2.8729402938704e-05,0.00617029222206256
"DAZARD_RESPONSE_TO_UV_NHEK_DN",318,47,3.06139829402464e-05,0.00628917693011583
"LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_DN",114,25,4.1192864964676e-05,0.00810984528992059
"MASSARWEH_TAMOXIFEN_RESISTANCE_UP",578,83,4.33471030010562e-05,0.00819260246719962
"ZHAN_MULTIPLE_MYELOMA_CD1_VS_CD2_DN",52,16,5.09021685336256e-05,0.00925049024313004
"MASSARWEH_RESPONSE_TO_ESTRADIOL",61,16,5.53218524361336e-05,0.00968132417632337
"FARMER_BREAST_CANCER_BASAL_VS_LULMINAL",330,52,6.25246750760229e-05,0.0105510389190789
"WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP",265,40,8.05379456089326e-05,0.0131221307931795
"MULLIGHAN_MLL_SIGNATURE_2_UP",418,58,0.000124686068727171,0.0196380558245294
"CUI_TCF21_TARGETS_2_DN",830,115,0.00014168572517241,0.0213332773656966
"WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP",137,23,0.000147478808496699,0.0213332773656966
"MULLIGHAN_MLL_SIGNATURE_1_UP",380,54,0.000154379915242831,0.0213332773656966
"NUYTTEN_NIPP1_TARGETS_DN",848,97,0.000157707388817062,0.0213332773656966
"ZWANG_CLASS_1_TRANSIENTLY_INDUCED_BY_EGF",516,72,0.000161008729232417,0.0213332773656966
"HAN_SATB1_TARGETS_DN",442,62,0.000162539256119593,0.0213332773656966
"LIU_CMYB_TARGETS_UP",165,28,0.000187940664208121,0.0240005307671182
"BERNARD_PPAPDC1B_TARGETS_DN",58,16,0.000198538106677684,0.0246866461592646
"VANTVEER_BREAST_CANCER_BRCA1_DN",44,12,0.000210637675855307,0.0255195645747776
"SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN",514,65,0.000230637928681201,0.0272441053254668
"BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP",211,39,0.000249424971121739,0.0285212890653547
"PID_ALK1_PATHWAY",26,9,0.00025352256946982,0.0285212890653547
"SMID_BREAST_CANCER_RELAPSE_IN_BONE_UP",97,22,0.000278341303941713,0.0305851781656882
"DACOSTA_UV_RESPONSE_VIA_ERCC3_XPCS_DN",88,19,0.00029519224487855,0.0309301515832348
"BIOCARTA_SPPA_PATHWAY",22,8,0.000297493334615612,0.0309301515832348
"DOANE_BREAST_CANCER_CLASSES_UP",72,16,0.000306276118976472,0.0309301515832348
"DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_DN",84,20,0.000307664999875563,0.0309301515832348
"REACTOME_OTHER_SEMAPHORIN_INTERACTIONS",15,7,0.000323316693006229,0.0316751291909846
"CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_UP",85,18,0.00032848282123984,0.0316751291909846
"GRESHOCK_CANCER_COPY_NUMBER_UP",323,53,0.000365966572204583,0.0345838410733331
