"","Term","Ont","N","DE","P.DE","FDR"
"GO:0044446","intracellular organelle part","CC",5332,68,1.02004847296245e-05,0.201204561291843
"GO:0044422","organelle part","CC",5463,68,3.02405312245907e-05,0.221461436750554
"GO:0044424","intracellular part","CC",9137,99,3.36823477947611e-05,0.221461436750554
"GO:0044428","nuclear part","CC",2441,37,8.07183557733397e-05,0.382872513742286
"GO:0043229","intracellular organelle","CC",7913,88,0.00012431928933708,0.382872513742286
"GO:0004674","protein serine/threonine kinase activity","MF",323,11,0.000143278883759364,0.382872513742286
"GO:0018024","histone-lysine N-methyltransferase activity","MF",31,4,0.000158575207947178,0.382872513742286
"GO:0032886","regulation of microtubule-based process","BP",98,6,0.000173336910019232,0.382872513742286
"GO:0043226","organelle","CC",8694,94,0.000174694683076328,0.382872513742286
"GO:0005622","intracellular","CC",9396,99,0.000255745030192093,0.461366478724283
"GO:0016278","lysine N-methyltransferase activity","MF",36,4,0.000280679226600324,0.461366478724283
"GO:0016279","protein-lysine N-methyltransferase activity","MF",36,4,0.000280679226600324,0.461366478724283
"GO:0035097","histone methyltransferase complex","CC",44,4,0.00034247590821297,0.519641329961603
"GO:0042054","histone methyltransferase activity","MF",39,4,0.000375817081921227,0.529499424349729
"GO:0070061","fructose binding","MF",4,2,0.000439453588844007,0.577881469329869
"GO:0001221","transcription cofactor binding","MF",17,3,0.000547844917352533,0.67539006217367
"GO:0034708","methyltransferase complex","CC",52,4,0.000619155493130118,0.6874853833851
"GO:0070507","regulation of microtubule cytoskeleton organization","BP",81,5,0.000627363087499711,0.6874853833851
"GO:0007017","microtubule-based process","BP",402,11,0.000687554558840617,0.713790193322694
"GO:0050882","voluntary musculoskeletal movement","BP",4,2,0.00072524076571691,0.715268705188303
"GO:0009755","hormone-mediated signaling pathway","BP",160,7,0.000939958712104916,0.850705498593439
"GO:1901216","positive regulation of neuron death","BP",47,4,0.000957045512818159,0.850705498593439
"GO:0008276","protein methyltransferase activity","MF",52,4,0.0010197597384935,0.850705498593439
"GO:0008170","N-methyltransferase activity","MF",56,4,0.00115273541813712,0.850705498593439
"GO:0031519","PcG protein complex","CC",26,3,0.00120985121001458,0.850705498593439
"GO:0031981","nuclear lumen","CC",2200,31,0.00122771760129591,0.850705498593439
"GO:0043232","intracellular non-membrane-bounded organelle","CC",2594,36,0.00124020122142361,0.850705498593439
"GO:0043228","non-membrane-bounded organelle","CC",2594,36,0.00124020122142361,0.850705498593439
"GO:0001222","transcription corepressor binding","MF",5,2,0.00125072037816019,0.850705498593439
"GO:0043227","membrane-bounded organelle","CC",8010,86,0.00131973547999562,0.867726078097117
"GO:0071383","cellular response to steroid hormone stimulus","BP",180,7,0.00148356275460464,0.94397662369602
"GO:0044451","nucleoplasm part","CC",419,10,0.00157989661944747,0.957217075565929
"GO:0007030","Golgi organization","BP",65,4,0.00172723267852847,0.957217075565929
"GO:0008088","axo-dendritic transport","BP",25,3,0.00174751276297597,0.957217075565929
"GO:0043401","steroid hormone mediated signaling pathway","BP",134,6,0.00175566490895259,0.957217075565929
"GO:0099568","cytoplasmic region","CC",227,8,0.00176019620505805,0.957217075565929
"GO:0016580","Sin3 complex","CC",8,2,0.00197666031617601,0.957217075565929
"GO:1903960","negative regulation of anion transmembrane transport","BP",6,2,0.00199839027954908,0.957217075565929
"GO:0017053","transcriptional repressor complex","CC",57,4,0.00205729484069276,0.957217075565929
"GO:0070822","Sin3-type complex","CC",9,2,0.00221055513851767,0.957217075565929
"GO:0035098","ESC/E(Z) complex","CC",8,2,0.00224801795872826,0.957217075565929
"GO:0007018","microtubule-based movement","BP",152,6,0.00226205977409525,0.957217075565929
"GO:0070013","intracellular organelle lumen","CC",2770,36,0.00226223683989746,0.957217075565929
"GO:0031974","membrane-enclosed lumen","CC",2770,36,0.00226223683989746,0.957217075565929
"GO:0043233","organelle lumen","CC",2770,36,0.00226223683989746,0.957217075565929
"GO:0072665","protein localization to vacuole","BP",31,3,0.00229383557891744,0.957217075565929
"GO:0060999","positive regulation of dendritic spine development","BP",24,3,0.00231479952862567,0.957217075565929
"GO:0004712","protein serine/threonine/tyrosine kinase activity","MF",30,3,0.00232934953749884,0.957217075565929
"GO:0034968","histone lysine methylation","BP",65,4,0.00240127446887524,0.966635487725799
"GO:0072686","mitotic spindle","CC",33,3,0.00246465220449124,0.971067793907051
